EmployeeID,Department,Team,ExperienceLevel,Region,ProductivityScore,EngagementScore,SatisfactionScore,EfficiencyScore,InnovationScore
Emp001,Marketing,TeamA,Entry,North,65,78,6,72,3
Emp002,Sales,TeamB,Mid,South,80,85,7,85,4
Emp003,HR,TeamC,Senior,East,70,72,5,78,2
Emp004,Tech,TeamA,Expert,West,90,92,9,95,5
Emp005,Marketing,TeamB,Entry,South,68,80,7,75,3
Emp006,Sales,TeamC,Mid,West,82,88,8,88,4
Emp007,HR,TeamA,Senior,North,72,75,6,80,2
Emp008,Tech,TeamB,Expert,East,92,95,9,97,5
Emp009,Marketing,TeamC,Entry,West,67,79,6,73,3
Emp010,Sales,TeamA,Mid,North,81,86,7,86,4
Emp011,HR,TeamB,Senior,South,71,73,5,79,2
Emp012,Tech,TeamC,Expert,East,91,93,9,96,5
Emp013,Marketing,TeamA,Entry,East,66,77,6,71,3
Emp014,Sales,TeamB,Mid,West,83,87,7,87,4
Emp015,HR,TeamC,Senior,North,73,74,5,77,2
Emp016,Tech,TeamA,Expert,South,93,94,9,94,5
Emp017,Marketing,TeamB,Entry,West,69,81,7,76,3
Emp018,Sales,TeamC,Mid,East,84,89,8,89,4
Emp019,HR,TeamA,Senior,South,74,76,6,81,2
Emp020,Tech,TeamB,Expert,North,94,96,9,98,5
Emp021,Marketing,TeamC,Entry,North,64,76,6,70,3
Emp022,Sales,TeamA,Mid,East,85,84,7,84,4
Emp023,HR,TeamB,Senior,West,75,71,5,76,2
Emp024,Tech,TeamC,Expert,South,95,91,9,93,5
Emp025,Marketing,TeamA,Entry,South,70,82,7,77,3
Emp026,Sales,TeamB,Mid,North,86,83,8,83,4
Emp027,HR,TeamC,Senior,East,76,70,6,75,2
Emp028,Tech,TeamA,Expert,West,96,90,9,92,5
Emp029,Marketing,TeamB,Entry,West,63,75,6,69,3
Emp030,Sales,TeamC,Mid,South,87,82,7,82,4
Emp031,HR,TeamA,Senior,East,77,69,5,74,2
Emp032,Tech,TeamB,Expert,North,97,89,9,91,5
Emp033,Marketing,TeamC,Entry,East,62,74,6,68,3
Emp034,Sales,TeamA,Mid,West,88,81,7,81,4
Emp035,HR,TeamB,Senior,North,78,68,5,73,2
Emp036,Tech,TeamC,Expert,South,98,88,9,90,5
Emp037,Marketing,TeamA,Entry,South,61,73,6,67,3
Emp038,Sales,TeamB,Mid,East,89,80,7,80,4
Emp039,HR,TeamC,Senior,West,79,67,5,72,2
Emp040,Tech,TeamA,Expert,North,99,87,9,89,5
Emp041,Marketing,TeamB,Entry,North,60,72,6,66,3
Emp042,Sales,TeamC,Mid,South,80,90,8,90,4
Emp043,HR,TeamA,Senior,East,70,80,7,80,3
Emp044,Tech,TeamB,Expert,West,90,98,9,98,5
Emp045,Marketing,TeamC,Entry,West,65,85,7,85,3
Emp046,Sales,TeamA,Mid,North,82,92,8,92,4
Emp047,HR,TeamB,Senior,South,72,82,7,82,3
Emp048,Tech,TeamC,Expert,East,92,99,9,99,5
Emp049,Marketing,TeamA,Entry,East,63,81,7,81,3
Emp050,Sales,TeamB,Mid,West,84,94,8,94,4
Emp051,HR,TeamC,Senior,North,74,84,7,84,3
Emp052,Tech,TeamA,Expert,South,94,97,9,97,5
Emp053,Marketing,TeamB,Entry,South,69,83,7,83,3
Emp054,Sales,TeamC,Mid,East,86,91,8,91,4
Emp055,HR,TeamA,Senior,West,76,83,7,83,3
Emp056,Tech,TeamB,Expert,North,96,96,9,96,5
Emp057,Marketing,TeamC,Entry,North,67,87,7,87,3
Emp058,Sales,TeamA,Mid,East,88,93,8,93,4
Emp059,HR,TeamB,Senior,South,78,85,7,85,3
Emp060,Tech,TeamC,Expert,West,98,99,9,99,5
Emp061,Marketing,TeamA,Entry,West,61,70,5,65,2
Emp062,Sales,TeamB,Mid,South,79,77,6,75,3
Emp063,HR,TeamC,Senior,East,69,68,4,70,1
Emp064,Tech,TeamA,Expert,North,89,85,8,85,4
Emp065,Marketing,TeamB,Entry,South,62,71,5,66,2
Emp066,Sales,TeamC,Mid,East,81,78,6,76,3
Emp067,HR,TeamA,Senior,West,71,69,4,71,1
Emp068,Tech,TeamB,Expert,North,91,86,8,86,4
Emp069,Marketing,TeamC,Entry,North,63,72,5,67,2
Emp070,Sales,TeamA,Mid,East,83,79,6,77,3
Emp071,HR,TeamB,Senior,South,73,70,4,72,1
Emp072,Tech,TeamC,Expert,West,93,87,8,87,4
Emp073,Marketing,TeamA,Entry,West,64,73,5,68,2
Emp074,Sales,TeamB,Mid,South,85,80,6,78,3
Emp075,HR,TeamC,Senior,East,75,71,4,73,1
Emp076,Tech,TeamA,Expert,North,95,88,8,88,4
Emp077,Marketing,TeamB,Entry,South,60,74,5,69,2
Emp078,Sales,TeamC,Mid,East,87,81,6,79,3
Emp079,HR,TeamA,Senior,West,77,72,4,74,1
Emp080,Tech,TeamB,Expert,North,97,89,8,89,4
Emp081,Marketing,TeamC,Entry,North,59,69,5,64,2
Emp082,Sales,TeamA,Mid,East,89,82,6,80,3
Emp083,HR,TeamB,Senior,South,79,73,4,75,1
Emp084,Tech,TeamC,Expert,West,99,90,8,90,4
Emp085,Marketing,TeamA,Entry,West,58,68,5,63,2
Emp086,Sales,TeamB,Mid,South,80,85,6,81,3
Emp087,HR,TeamC,Senior,East,70,74,4,76,1
Emp088,Tech,TeamA,Expert,North,90,91,8,91,4
Emp089,Marketing,TeamB,Entry,South,57,67,5,62,2
Emp090,Sales,TeamC,Mid,East,82,86,6,82,3
Emp091,HR,TeamA,Senior,West,72,75,4,77,1
Emp092,Tech,TeamB,Expert,North,92,92,8,92,4
Emp093,Marketing,TeamC,Entry,North,56,66,5,61,2
Emp094,Sales,TeamA,Mid,East,84,87,6,83,3
Emp095,HR,TeamB,Senior,South,74,76,4,78,1
Emp096,Tech,TeamC,Expert,West,94,93,8,93,4
Emp097,Marketing,TeamA,Entry,West,55,65,5,60,2
Emp098,Sales,TeamB,Mid,South,86,88,6,84,3
Emp099,HR,TeamC,Senior,East,76,77,4,79,1
Emp100,Tech,TeamA,Expert,North,96,94,8,94,4